Listing Name,Check-in Date,Check-out Date,Booked Date,Average Daily Rate,Rental Revenue,Total Revenue,Currency,Booking Source,Booking Status
Sauna  Cold Plunge  5 BR,2026-06-11,2026-06-14,2026-01-24,820,2460,2690,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-01-26,2026-01-28,2026-01-20,283.5,567,717,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-01-20,2026-01-21,2026-01-20,162.9,162.9,312.9,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-04-16,2026-04-19,2026-01-17,1041,3123,3353,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-01-21,2026-01-25,2026-01-16,320.75,1283,1513,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-02-23,2026-02-24,2026-01-16,525,525,675,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-02-05,2026-02-08,2026-01-14,948.67,2846,3220,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-02-20,2026-02-22,2026-01-12,933,1866,2016,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-02-27,2026-03-02,2026-01-10,766,2298,2528,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-01-12,2026-01-15,2026-01-09,258.6,775.8,1005.8,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-01-05,2026-01-08,2026-01-05,202.67,608,838,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-01-08,2026-01-11,2026-01-03,468.6,1405.8,1635.8,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-12-29,2025-12-31,2025-12-29,226.8,453.6,603.6,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-12-28,2025-12-29,2025-12-26,226.8,226.8,376.8,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-12-31,2026-01-05,2025-12-19,628.82,3144.1,3374.1,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-04-01,2026-04-05,2025-11-26,1167.5,4670,4900,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-01-15,2026-01-18,2025-11-24,790.33,2371,2601,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-12-18,2025-12-21,2025-11-23,505,1515,1745,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-11-22,2025-11-28,2025-11-22,337.5,2025,2255,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-12-24,2025-12-26,2025-11-09,478.5,957,1107,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-11-03,2025-11-06,2025-11-03,168,504,734,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-11-20,2025-11-22,2025-11-01,732.5,1465,1615,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-11-14,2025-11-16,2025-10-22,605,1210,1552,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-10-20,2025-10-23,2025-10-20,158.04,474.11,712.22,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-11-06,2025-11-09,2025-10-18,539.33,1618,2787.9,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-10-17,2025-10-18,2025-10-17,202,202,344.64,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-11-28,2025-12-01,2025-10-17,387.47,1162.4,1583.27,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-10-16,2025-10-17,2025-10-17,141.6,141.6,275.71,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2025-10-18,2025-10-19,2025-10-17,177.6,177.6,345.32,USD,Airbnb,Booked
